#input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,output
0.974667155,0.013829997,0.00398313,0.002109649,0.001193308,0.001051744,0.000787015,0.000531659,0.000408648,0.00030988,0.000231644,0.000193255,0.000172963,0.000131327,0.000112466,0.000111037,7.93E-05,5.91E-05,3.67E-05,1.08E-33,10
0.890602728,0.043498968,0.021209268,0.011668486,0.009322719,0.005980513,0.00391714,0.003190871,0.002913302,0.002127447,0.00130694,0.00102228,0.000854643,0.000740393,0.000580424,0.000497475,0.000220659,0.000196182,0.000149564,3.30E-33,10
0.930069479,0.035987549,0.008810077,0.005251474,0.004202309,0.00371318,0.00267398,0.002417646,0.002153424,0.001301018,0.000772101,0.000645972,0.000549742,0.000397268,0.000346808,0.000312943,0.000213266,9.87E-05,8.30E-05,2.85E-33,10
0.902180432,0.038112761,0.016769365,0.009658768,0.008147804,0.00612304,0.004442284,0.003242945,0.002957524,0.002529083,0.001296616,0.001125344,0.000899964,0.000660255,0.000558683,0.000427402,0.000367692,0.00025607,0.000243968,1.78E-33,10
0.958757567,0.022019654,0.006783638,0.004799451,0.001969583,0.001325237,0.000865502,0.000654578,0.000545241,0.000509,0.000376985,0.000363026,0.000275857,0.000174148,0.000165883,0.0001448,0.000132807,8.28E-05,5.43E-05,1.49E-33,10
0.952274506,0.022876817,0.006328846,0.005031974,0.003503109,0.003010139,0.002134698,0.001073585,0.000847977,0.000630013,0.0005155,0.000431291,0.000356345,0.000269378,0.00022054,0.000212901,0.000135338,8.04E-05,6.67E-05,2.45E-33,10
0.955482523,0.02161807,0.006712953,0.00422532,0.002579702,0.002292434,0.001624906,0.001225786,0.001024893,0.000753991,0.000526667,0.000476108,0.000375134,0.000292212,0.000212212,0.000205997,0.00016241,0.000107036,0.000101646,3.92E-33,10
0.950094555,0.019902577,0.011902749,0.004036633,0.00266542,0.002148264,0.002031365,0.001426023,0.00127978,0.001092205,0.000896302,0.000750288,0.000499211,0.000339785,0.00025168,0.000237639,0.000193882,0.000147748,0.000103894,1.45E-33,10
0.967847312,0.015899547,0.004868186,0.003511755,0.002361454,0.001769237,0.000854405,0.000620773,0.000456627,0.000377812,0.000305259,0.000237391,0.000211254,0.000186842,0.000146261,0.000126111,8.67E-05,7.38E-05,5.92E-05,1.14E-33,10
0.932618276,0.02547788,0.007600573,0.005517935,0.004649274,0.003877923,0.003336475,0.003086854,0.002440722,0.002249431,0.001923289,0.001615198,0.001174635,0.001136712,0.000964934,0.000769778,0.000623349,0.000529447,0.000407315,7.07E-34,10
0.905655535,0.045221971,0.019172949,0.00924572,0.005466957,0.004581419,0.002811656,0.001568052,0.001434504,0.001193762,0.000910733,0.000785941,0.00044145,0.000343736,0.000311863,0.000281325,0.000239871,0.000187606,0.000144948,6.37E-33,10
0.914218066,0.03980612,0.016145246,0.009824424,0.0058001,0.003360962,0.002894707,0.001738085,0.00145356,0.001284061,0.000793737,0.00056749,0.000455058,0.000398445,0.000359038,0.000310412,0.000244473,0.000196254,0.000149762,5.20E-33,10
0.903599808,0.043056639,0.016112253,0.011656777,0.006383877,0.003873079,0.003021286,0.00227749,0.001678288,0.001448965,0.001195989,0.000967683,0.00092484,0.000842386,0.000813622,0.000704546,0.000535923,0.000480472,0.000426078,5.95E-33,10
0.911903435,0.041101182,0.015412606,0.011261287,0.005053022,0.003244776,0.002279081,0.00163676,0.00154411,0.001251771,0.001026363,0.000975538,0.000740934,0.000659312,0.00057309,0.000435196,0.000369196,0.000331186,0.000201156,2.51E-33,10
0.903451821,0.054038384,0.013632334,0.008443118,0.006592642,0.002841015,0.002279527,0.001651985,0.001535428,0.0011572,0.00094896,0.000848134,0.000726078,0.000472301,0.000420376,0.000312318,0.000259245,0.000202213,0.00018692,6.06E-33,10
0.887961499,0.046681365,0.017645196,0.010845655,0.01019106,0.006388785,0.005212019,0.002822997,0.002414176,0.001979961,0.001656712,0.001446501,0.001078585,0.000957427,0.00072257,0.000703634,0.000551912,0.000393975,0.000345973,2.65E-33,10
0.944663017,0.029008556,0.008541452,0.005452086,0.004012405,0.001939375,0.001426098,0.001101821,0.000668423,0.000628321,0.000578029,0.000418846,0.0003913,0.000313974,0.000259771,0.000216258,0.000169543,0.000110035,0.000100689,1.79E-33,10
0.968474618,0.014145792,0.005725722,0.003095863,0.002267492,0.00125216,0.001026249,0.00086497,0.000575441,0.000497755,0.000400989,0.000347531,0.000316952,0.000248115,0.000201153,0.000171298,0.000150586,0.000143458,9.39E-05,1.99E-33,10
0.957643208,0.018879484,0.006605214,0.003902245,0.002803974,0.001962941,0.001645233,0.001349265,0.001099819,0.000817182,0.000619917,0.000588112,0.000477315,0.000417725,0.000353037,0.000274585,0.000229287,0.000205226,0.000126229,2.84E-33,10
0.96139744,0.019417502,0.006466216,0.004959673,0.00213432,0.001706064,0.001200065,0.000564651,0.000442266,0.000386064,0.00024821,0.000214666,0.000201232,0.000179726,0.000130063,0.000112733,0.000102931,8.28E-05,5.34E-05,1.14E-33,10
0.94438682,0.017303369,0.012195221,0.008436335,0.005514594,0.004240518,0.001899841,0.001848578,0.001042753,0.000785973,0.000555792,0.000451948,0.000329736,0.00030988,0.000208755,0.000176674,0.000142811,0.00010656,6.38E-05,2.48E-33,10
0.940907054,0.029320883,0.009186254,0.006136974,0.00320516,0.002637791,0.00221189,0.001719579,0.001380518,0.000648228,0.000588993,0.000472607,0.000338611,0.000298898,0.000270509,0.000225686,0.000177908,0.000162537,0.00010992,2.66E-33,10
